text,source,split
"rt : tune in today's jmt for my interview w / robert spencer on "" the complete infidel's guide to iran ! "" "" """,ImplicitHate-stg2-irony,all
"race cucks like paul ryan should be banished to live in a "" diverse "" "" neighbrhd if they want t spout such nonsense """,ImplicitHate-stg2-irony,all
: nice to know that tsunami didn't dampen their energy to stay in the 7th century .,ImplicitHate-stg2-irony,all
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,ImplicitHate-stg2-irony,all
some racist libtards say that if #trump wins they will move to #canada . that's pretty funny ! why move to a white country and not #mexico ?,ImplicitHate-stg2-irony,all
you'd think a jew would be more sensitive about people getting gassed .,ImplicitHate-stg2-irony,all
"who'da thunk it ? rt : here's a new one : "" obama is a jew "" "" via #tcot #tlot #wethepeople #becktips """,ImplicitHate-stg2-irony,all
all successful white men are nazis unless they push an anti white agenda . might as well embrace the fash,ImplicitHate-stg2-irony,all
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south,ImplicitHate-stg2-irony,all
our people here in america who have no jobs . must come first red yellow black blue purple white skinny tall short fat americans,ImplicitHate-stg2-irony,all
the #cuckservative meme : we need to make sure this remains about jews | daily stormer #withjewswelose,ImplicitHate-stg2-irony,all
if you don't like white people you picked the wrong country to live in.bye !,ImplicitHate-stg2-irony,all
oh no if you're not black enuf am i not white enuf to be a racist this is a disaster . this is going to make skin color mean nothing !,ImplicitHate-stg2-irony,all
ooga booga where da white wimmin at,ImplicitHate-stg2-irony,all
whole foods jesus : god * * * white america : rev . jeff hood riles up the black lives matter crowd,ImplicitHate-stg2-irony,all
why is it the #jews & #catholics of europe wanted to come to a country founded by evil white nationalist protestants ? #scalise,ImplicitHate-stg2-irony,all
yes jail them so they can cost taxpayers more $ than their food stamps did,ImplicitHate-stg2-irony,all
yo c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room,ImplicitHate-stg2-irony,all
you are right white people are very good how they gave almost all banking to a small group is amusing,ImplicitHate-stg2-irony,all
#howtospotafeminist their favorite colour isn't white .,ImplicitHate-stg2-irony,all
: guess i'll tell all my successful southern friends they owe it all to a slave they've never owned,ImplicitHate-stg2-irony,all
according to the #white house june is lgbt pride month . i'm a white southern christian . can i be proud of that ?,ImplicitHate-stg2-irony,all
and in an even bigger surprise : a jew calls another jew a jew to get another jew to cry -> wait for,ImplicitHate-stg2-irony,all
don't say that to him he is black what are you a racist smh whites are the worst,ImplicitHate-stg2-irony,all
i think we should also teach kids zionism and white guilt here in america,ImplicitHate-stg2-irony,all
if he were white the media would be demanding every white person in americapay the first black person they see 100 dollars,ImplicitHate-stg2-irony,all
imagine going back a millenia to find a civilization your ancestors created only to find out they were white,ImplicitHate-stg2-irony,all
still think sodomy is part of white identity ?,ImplicitHate-stg2-irony,all
