text,split,source
The only thing I got from college is a caffeine addiction,train,iSarcasmEval
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,train,iSarcasmEval
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,train,iSarcasmEval
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,train,iSarcasmEval
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",train,iSarcasmEval
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",train,iSarcasmEval
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,train,iSarcasmEval
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,train,iSarcasmEval
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,train,iSarcasmEval
Holly Arnold ??? Who #ImACeleb #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,train,iSarcasmEval
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd",train,iSarcasmEval
See Brexit is going well,train,iSarcasmEval
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,train,iSarcasmEval
do i just blast maneskin to get hyped for my osce or??,train,iSarcasmEval
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",train,iSarcasmEval
"I never thought I'd say this, but I have become one of those people who like bounty bars.",train,iSarcasmEval
My eldest is having a wild Friday night out. She's going to bingo. 😂,train,iSarcasmEval
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",train,iSarcasmEval
gaslight gatekeep girl boss,train,iSarcasmEval
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,train,iSarcasmEval
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,train,iSarcasmEval
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",train,iSarcasmEval
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,train,iSarcasmEval
Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. Give. Me. Strength.,train,iSarcasmEval
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",train,iSarcasmEval
teams is down what a shame I can’t do my assignments 👉🏽👈🏽,train,iSarcasmEval
