text,source,split
"The West has let Islam take over our countries. This is why we are accepting them, we are already corrupted.",mconan,train
Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,conan,train
Jews secretly run our government.,mconan,train
Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,mconan,train
"Ignorant People Dont dislike Islam, The More you start knowing about it the More abhorrence you become towards it.",youtube,train
Glad not all men are like that and sad some women are like this... https://t.co/dwvsks2KnK,hateval,train
"I suppose they 're trying to be funny , but it 's really just an effort to continue demonizing Germans and propagating the Holocau $ t .",wsf,train
What has feminism ever done for you?,mconan,train
It'd just be nice if they could stay in the Middle East where they belong.,youtube,train
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,wsf,train
I think the UK is more of a lost cause than the US. london has made tons of concessions to non whites .,wsf,train
They have been taking advantage of our over-welcoming nature for far to long .,wsf,train
"Immigrants steal our jobs, and they're leaving on our welfare.",mconan,train
"@simplecotton11 RT #WeThePeople need @realDonaldTrump's actions to start backing up his words with real Conservative actions and results. Not the RINO shit coming out of #Congress, RINOs, McConnell, Ryan, Pence, Brady, & the Koch Brothers. #USA #Americans",hateval,train
"I'm not homophobic, but when the Lord uses the word love it is never about a homosexual.",mconan,train
The gay mafia objective is to convert us all to homosexuality.,mconan,train
Immigrants come here to get taxpayer funded benefits and then want to live in our houses.,mconan,train
They dont have a home cause we took it for their oil.,youtube,train
Why should we try to civilize that which cannot be domesticated or civil ?,wsf,train
Only 8% is a real refugee,mconan,train
A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).,conan,train
How much longer are we going to wait for them to take care of themselves ?,wsf,train
"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)",mconan,train
How women have damaged the DNA of men and atrophied their own DNA?,youtube,train
"If only women behaved like men wanted and didn't fight back, 10% of so called ""sexual assaults"" would be solved.",mconan,train
You Anglo-Americans are all welcome to England if you can perform the ' small ' task of riding London of it 's ethnics !,wsf,train
The Jewish are different from other people.,mconan,train
Children cannot be bought.,mconan,train
Apparently the Jews ca n't take it when the truth is spoken about them .,wsf,train
They said they didn't see any scenario where Islam will take over Europe.,youtube,train
People with physical disabilities are always complaining about accessibility.,mconan,train
The link in my sig lne `` Christian Identity and Identifying the jew '' explains this,wsf,train
My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,wsf,train
It is easier for other races to follow the herd but not Whites .,wsf,train
"Jews insist that they are a peculiar people, in need of a special treatment.",mconan,train
So they can get reparations for their great grand parents ' `` suffering '' plus more .,wsf,train
Almost all Muslims in the UK are jobless and choose not to work.,conan,train
"Sometimes I wonder if it is Because Whites are so much smarter that they find it harder to run together , as opposed to , independently .",wsf,train
"All the migrants in the world cannot replace the hard-working, native-born citizens of our country.",mconan,train
Don't you think that women are complaining a bit too much?,mconan,train
"This is the new normal. We accept homosexuality in our schools and in our neighbourhoods. We accept it in our workplaces and in our houses. What is the problem? No problem, if we are not interested in a decent society.",mconan,train
"Also Gays, Feminists anf athiests won't be persecuted, as it is against islam to kill civillians unless as an act of defense, or if they are criminals.",youtube,train
It is n't enough that we support mesico now we have to support africa .,wsf,train
women play the victim.,mconan,train
"Micheal Hester, Remember in the 15th Century, when muslims ruled Spain?",youtube,train
Would anybody agree if I moved to their house and told them: you have to do things my way now.,youtube,train
@EmmanuelMacron Hello?? Stop groping my nation.Schneider: current migrant crisis “represents a plan orchestrated and prepared for a long time by international powers to radically alter Christian and national identity of European peoples.”http,hateval,train
Sort of a back handed compliment that the anti-Whites are so keen to come on here and tell us that all is lost - in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,wsf,train
More than half of the prisoners in our jails are foreigners,mconan,train
Mentally disabled people have it so easy.,mconan,train
@KamalaHarris @NancyPelosi@RepMaxineWaters @SenSchumerAnd you want open borders and more immigration?? @seanhannityMoment seven masked illegal immigrants storm jewelry store in Texas https://t.co/J5rGl1h87A @MailOnline,hateval,train
"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views .",wsf,train
"Oh wait thats what the whites are doing for them , kind of like a zoo ?",wsf,train
I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .,wsf,train
Jews love to gamble.,mconan,train
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",mconan,train
"This is the false front which jews present to the world , but jews are quite varied in their opinions and beliefs .",wsf,train
"HOW REFRESHING! In South Korea, there is no such thing as 'political correctness"" when it comes to dealing with Muslim refugee wannabes https://t.co/ZPvIrX1qiy via @barenakedislam",hateval,train
The vast majority of Muslims in the UK are unemployed.,mconan,train
I guess I would be destined for the gas chambers .,wsf,train
The world was fine before religion.,youtube,train
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,conan,train
We are ruled by a small Jewish elite that exploit the weak.,mconan,train
The thing that concerns me is that he got a house off the council thats a house that a Irish family should have got .,wsf,train
Then we will see who is afraid to leave thier homes after dark or venture into the wrong ' hood .,wsf,train
Muslims living in the UK contribute nothing to our society.,mconan,train
Thank you Sheldon for understanding Geert he is right we need to wake up put politicaly correctness in the garbage.,youtube,train
Muslims cannot add any value to our culture.,conan,train
"What the hell are you talking about? Arabs are different, they don't even speak English.",mconan,train
"A recent poll from yougov indicate that westeners do not consider Islam as good as other religions, and for this fact Islam is unsuitable with western values.",conan,train
I love white people! I am not interested in anyone else!,mconan,train
"Afro-European?? We in UK are white, this just not makes sense.",mconan,train
"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?",conan,train
Jews control Hollywood.,mconan,train
you dont see westerners going to islamic countries and trying to practice western culture!?,youtube,train
Canada is an immigrant country Don't change it to refugee country please,hateval,train
Black folks don't know who their dads are.,mconan,train
"""25% of the population of Belgium are Muslims""?!?!",youtube,train
I saw a white and a black couple the other day and nearly went ballistic and got enraged .,wsf,train
Ever hear of the swiss minaret ban?,youtube,train
"Our government forgot about our Christianity? For long time we fought Muslims, putting an end to their brutality. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict.",conan,train
Jews are the real communists. They control the world.,mconan,train
I wonder why the Jewish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?,wsf,train
Immigrants speak funny.,mconan,train
"Jews control the banks, Hollywood, the highest offices of government, and most churches. They rule our society.",mconan,train
South Africa has returned to the Stone Age in 20 years .,wsf,train
Gypsies are not like us.,mconan,train
She likes big houses now she can accommodate lots of illegal immigrants https://t.co/Io9z4AXpDF,hateval,train
Wasn't there something like a big bang in which a burrito exploded and all the beans flew everywhere and started reproducing exponentially ?,wsf,train
The only Mexican in town has since moved out and kids can now leave their bicycles in the yard without fear .,wsf,train
Lost - but happy ! Merkel co. has not realized who the reality really is. Poor Germany which want go on to love refugees. https://t.co/cqDtwYUaVU,hateval,train
Jews own most corporations and banks. They own most movie studios and cable companies.,mconan,train
"What do Jewish want in return for their allegiance to the state? Free healthcare, education, housing and employment.",mconan,train
Jews run the world.,mconan,train
The only thing that they care about is welfare and mooching of all the rest of us .,wsf,train
Black people are much more likely to be involved in criminal activities such as drugs and crime.,mconan,train
@CPC_HQ NO. Our immigration system MUST act in the ethnic interests of the founding people and NOT change the racial demographic makeup like it is intentionally doing.Denying Whites their right to survive as separate nations and defend their racial inter,hateval,train
"I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing.",mconan,train
"What is feminism? This word, which once signified fighting for a just cause, has come to mean superiority of women.",mconan,train
Thank Odin they do n't try to come in the modern day .,wsf,train
The have no concept of honour or of having respect for the feelings of others .,wsf,train
Only places my wife can drive are to restaurants and grocery stores,hateval,train
"Sunnan abu dawud 38.4450 says that if a person does sex with an animal, there will be no sentence for this act.",conan,train
"A woman should be aloud to wear what she wants , its a little thing in the Western world we like to call Freedom .",youtube,train
"There's a place for Poles , it 's called Poland .",wsf,train
Gypsies get the priority for council houses.,mconan,train
"If the Jews are allowed to decide for everyone the correct version of history , I 'm sure they 'll eventually re-write the history around Jesus Christ .",wsf,train
Do you really want to redefine marriage?,mconan,train
Faggots get easily offended by whatever we say to them.,mconan,train
As Hispanic and Negro populations increase test score averages will decrease .,wsf,train
Anyone with half a brain can figure out that the Holocaust never happened.,mconan,train
"At the link just below , I 've been urging our brothers and sisters in South Africa to run that message or a similar message on that site every month : Malaysians , Venezuelans , Chinese let White House broadcast their agendas",wsf,train
Since when are we doing well with Muslims?,mconan,train
@Daily_Express there will be bitterness in the Uk when you sleep rough look up and see refuges walk into houses violence isn't just migrant,hateval,train
Immigrants are coming to the U.S. only as couples to have babies here.,mconan,train
We have become a nation of immigrants.,mconan,train
@MailOnline The other side of the coin is how many migrants got housing in the first place tragedy or no Tragedy will we get new housing no!,hateval,train
"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.",mconan,train
"Feminists want women ruling men, that's all.",mconan,train
@Lots_Of_Fun_69 @ljbeebe You can have a decent society that works properly or you can have scores of illegal immigrants; you can NOT afford both. Plain and simple. ðŸ‡¨ðŸ‡¦ðŸ‘µ https://t.co/EOEms8A4AK,hateval,train
"As the saying goes , you can take the ape out of the jungle , but you ca n't take the jungle out of the ape .",wsf,train
Depending on which part of Scotland you 're going to I might have some bad news for you about the Kaffirs .,wsf,train
Islam - Silence is tacit acceptance. Raise your voice before it is too late!,conan,train
It 's just the way they are .,wsf,train
Only White people can be truly 'European'.,mconan,train
Lack of compassion seems to go hand and hand with lack the of White blood .,wsf,train
"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?",mconan,train
"The British people should use those houses, not immigrants.",mconan,train
Why taxpayers should be burdened with expensive legal process for illegal refugees?Your opinion?,hateval,train
The Jews control Hollywood.,mconan,train
I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,mconan,train
"#Czechia Zeman labeled this disturbing attitude practiced by West EU leaders as “cowardice masquerading as tolerance”.But also migration pimps @AmnestySlovenia, other NGOs begin intimidation campaigns directed at border guards in Slovenia, Croatia.Europe must support the guards https://t.co/ZacaqpHV9K",hateval,train
"Im living in Burnaby , all i see is Chinamen everywhere ... what happened to the great colony built by the British Empire ?",wsf,train
"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",wsf,train
Nazi were not that bad as we depict them. EU should stop blaming them.,mconan,train
"""christians are pro israel !"" LOL honey.",youtube,train
I do like the outfit they dressed the simian in ; he looks so regal,wsf,train
It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,conan,train
We are looking into building `` mud free zones '' by way of taking over key locations and building a refuge for our racial kindred .,wsf,train
My wife showed me a Kibble 's - n - Bits commercial last night wherein a mixed couple was presented as `` normal . '',wsf,train
"Jews are ruling the World, there is plenty of evidence.",mconan,train
"Whenever Islam is threatened by another religion, it will rise up and take over the world.",mconan,train
"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?",mconan,train
"In fact , if you buy California fruit , you have tasted illegal alien DNA .",wsf,train
"Right now when I think of WASP 's , I think of New England liberals who have never had a taste of diversity in their life .",wsf,train
The comments section was disabled at Fox News for this article. That could mean the perpetrator is an immigrant or from an immigrant background. But maybe not. Could be a sick white person as well. Evil comes in all colors.,hateval,train
"There are too many differences between Muslims and us, for example Muslims have different laws from us.",conan,train
Feminists are against the interests of the men.,mconan,train
Migrants without permission to stay can still access our welfare,mconan,train
You are right: A religion of PIECE.,youtube,train
We have too many foreigners in our country and i fear for the future of all English people .,wsf,train
And here 's what David Irving 's site offers on Hitler 's Table Talks .,wsf,train
Hitlerjugend Quex Der Ewige Jude Jude Suss Those are some movies the Nazi 's made and are very good and informative .,wsf,train
"The only purpose of Islam is to control, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom.",conan,train
