text,split,source,p_bullying,pred_class
"@kittin_knittin According to a Trump republican, that's relative to Penis size. There's a video. Lol",train,iSarcasmEval,0.9943464613025039,other_cyberbullying
but clinton's emails! oh. emm. fucking. gee. clinton's god damnèd emails. the humanity of it all. 🤮 https://t.co/cibY5Tn9s6,train,iSarcasmEval,0.9901483234904541,other_cyberbullying
too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.,train,iSarcasmEval,0.9872333073708865,other_cyberbullying
Why am I not famous yet cos I’m actually fucking hilarious,train,iSarcasmEval,0.9745051207696445,other_cyberbullying
"Are GoFundMe accounts a form of socialism? I don’t have enough money to pay my bills, so let me create an account an ask for money to help pay my bills. ??",train,iSarcasmEval,0.9742601954228998,other_cyberbullying
"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.",train,iSarcasmEval,0.9740345884979971,other_cyberbullying
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,train,iSarcasmEval,0.9708035649549034,other_cyberbullying
I too enjoy making shit up and pretending like I understand basic economic principles https://t.co/cHDBHaxBBR,train,iSarcasmEval,0.9681758614632039,other_cyberbullying
every date I go on I get a little scared will be phone swap,train,iSarcasmEval,0.9669634576432665,other_cyberbullying
"Why does Ramish think he can stop my kitchen rennovation because of the noise? His kids are not exactly quiet or competent when they play their musical instruments, lets just say my dog makes a better sound.",test,iSarcasmEval,0.9656144552383388,religion
Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH,train,iSarcasmEval,0.9646924209250235,other_cyberbullying
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",train,iSarcasmEval,0.9645174654772998,other_cyberbullying
I swear stupid people were put on this earth to test my anger management skills,test,iSarcasmEval,0.9618110209829148,other_cyberbullying
All the shade i have been hearing about Ben Platt being unbelievable as a teenager in the @DearEvanHansen movie boggles me. Does nobody have any memories of Grease??? Name 1 actor on that film who believably looked high school age!,train,iSarcasmEval,0.9558902056792943,age
